0|1
add|add
add|check
add|create
add|customize
add|do
add|embed
add|get
add|import / export
add|know
add|make it easy to assess
add|map
add|operationalize
add|package
add|provide
add|publish
add|reference
add|save
add|specify
add|store
add|translate
add|understand
add|use
add|validate
add|want
add|would like
check|add
check|check
check|create
check|customize
check|do
check|embed
check|get
check|import / export
check|know
check|make it easy to assess
check|map
check|operationalize
check|package
check|provide
check|publish
check|reference
check|save
check|specify
check|store
check|translate
check|understand
check|use
check|validate
check|want
check|would like
create|add
create|check
create|create
create|customize
create|do
create|embed
create|get
create|import / export
create|know
create|make it easy to assess
create|map
create|operationalize
create|package
create|provide
create|publish
create|reference
create|save
create|specify
create|store
create|translate
create|understand
create|use
create|validate
create|want
create|would like
customize|add
customize|check
customize|create
customize|customize
customize|do
customize|embed
customize|get
customize|import / export
customize|know
customize|make it easy to assess
customize|map
customize|operationalize
customize|package
customize|provide
customize|publish
customize|reference
customize|save
customize|specify
customize|store
customize|translate
customize|understand
customize|use
customize|validate
customize|want
customize|would like
do|add
do|check
do|create
do|customize
do|do
do|embed
do|get
do|import / export
do|know
do|make it easy to assess
do|map
do|operationalize
do|package
do|provide
do|publish
do|reference
do|save
do|specify
do|store
do|translate
do|understand
do|use
do|validate
do|want
do|would like
embed|add
embed|check
embed|create
embed|customize
embed|do
embed|embed
embed|get
embed|import / export
embed|know
embed|make it easy to assess
embed|map
embed|operationalize
embed|package
embed|provide
embed|publish
embed|reference
embed|save
embed|specify
embed|store
embed|translate
embed|understand
embed|use
embed|validate
embed|want
embed|would like
get|add
get|check
get|create
get|customize
get|do
get|embed
get|get
get|import / export
get|know
get|make it easy to assess
get|map
get|operationalize
get|package
get|provide
get|publish
get|reference
get|save
get|specify
get|store
get|translate
get|understand
get|use
get|validate
get|want
get|would like
import / export|add
import / export|check
import / export|create
import / export|customize
import / export|do
import / export|embed
import / export|get
import / export|import / export
import / export|know
import / export|make it easy to assess
import / export|map
import / export|operationalize
import / export|package
import / export|provide
import / export|publish
import / export|reference
import / export|save
import / export|specify
import / export|store
import / export|translate
import / export|understand
import / export|use
import / export|validate
import / export|want
import / export|would like
know|add
know|check
know|create
know|customize
know|do
know|embed
know|get
know|import / export
know|know
know|make it easy to assess
know|map
know|operationalize
know|package
know|provide
know|publish
know|reference
know|save
know|specify
know|store
know|translate
know|understand
know|use
know|validate
know|want
know|would like
make it easy to assess|add
make it easy to assess|check
make it easy to assess|create
make it easy to assess|customize
make it easy to assess|do
make it easy to assess|embed
make it easy to assess|get
make it easy to assess|import / export
make it easy to assess|know
make it easy to assess|make it easy to assess
make it easy to assess|map
make it easy to assess|operationalize
make it easy to assess|package
make it easy to assess|provide
make it easy to assess|publish
make it easy to assess|reference
make it easy to assess|save
make it easy to assess|specify
make it easy to assess|store
make it easy to assess|translate
make it easy to assess|understand
make it easy to assess|use
make it easy to assess|validate
make it easy to assess|want
make it easy to assess|would like
map|add
map|check
map|create
map|customize
map|do
map|embed
map|get
map|import / export
map|know
map|make it easy to assess
map|map
map|operationalize
map|package
map|provide
map|publish
map|reference
map|save
map|specify
map|store
map|translate
map|understand
map|use
map|validate
map|want
map|would like
operationalize|add
operationalize|check
operationalize|create
operationalize|customize
operationalize|do
operationalize|embed
operationalize|get
operationalize|import / export
operationalize|know
operationalize|make it easy to assess
operationalize|map
operationalize|operationalize
operationalize|package
operationalize|provide
operationalize|publish
operationalize|reference
operationalize|save
operationalize|specify
operationalize|store
operationalize|translate
operationalize|understand
operationalize|use
operationalize|validate
operationalize|want
operationalize|would like
package|add
package|check
package|create
package|customize
package|do
package|embed
package|get
package|import / export
package|know
package|make it easy to assess
package|map
package|operationalize
package|package
package|provide
package|publish
package|reference
package|save
package|specify
package|store
package|translate
package|understand
package|use
package|validate
package|want
package|would like
provide|add
provide|check
provide|create
provide|customize
provide|do
provide|embed
provide|get
provide|import / export
provide|know
provide|make it easy to assess
provide|map
provide|operationalize
provide|package
provide|provide
provide|publish
provide|reference
provide|save
provide|specify
provide|store
provide|translate
provide|understand
provide|use
provide|validate
provide|want
provide|would like
publish|add
publish|check
publish|create
publish|customize
publish|do
publish|embed
publish|get
publish|import / export
publish|know
publish|make it easy to assess
publish|map
publish|operationalize
publish|package
publish|provide
publish|publish
publish|reference
publish|save
publish|specify
publish|store
publish|translate
publish|understand
publish|use
publish|validate
publish|want
publish|would like
reference|add
reference|check
reference|create
reference|customize
reference|do
reference|embed
reference|get
reference|import / export
reference|know
reference|make it easy to assess
reference|map
reference|operationalize
reference|package
reference|provide
reference|publish
reference|reference
reference|save
reference|specify
reference|store
reference|translate
reference|understand
reference|use
reference|validate
reference|want
reference|would like
save|add
save|check
save|create
save|customize
save|do
save|embed
save|get
save|import / export
save|know
save|make it easy to assess
save|map
save|operationalize
save|package
save|provide
save|publish
save|reference
save|save
save|specify
save|store
save|translate
save|understand
save|use
save|validate
save|want
save|would like
specify|add
specify|check
specify|create
specify|customize
specify|do
specify|embed
specify|get
specify|import / export
specify|know
specify|make it easy to assess
specify|map
specify|operationalize
specify|package
specify|provide
specify|publish
specify|reference
specify|save
specify|specify
specify|store
specify|translate
specify|understand
specify|use
specify|validate
specify|want
specify|would like
store|add
store|check
store|create
store|customize
store|do
store|embed
store|get
store|import / export
store|know
store|make it easy to assess
store|map
store|operationalize
store|package
store|provide
store|publish
store|reference
store|save
store|specify
store|store
store|translate
store|understand
store|use
store|validate
store|want
store|would like
translate|add
translate|check
translate|create
translate|customize
translate|do
translate|embed
translate|get
translate|import / export
translate|know
translate|make it easy to assess
translate|map
translate|operationalize
translate|package
translate|provide
translate|publish
translate|reference
translate|save
translate|specify
translate|store
translate|translate
translate|understand
translate|use
translate|validate
translate|want
translate|would like
understand|add
understand|check
understand|create
understand|customize
understand|do
understand|embed
understand|get
understand|import / export
understand|know
understand|make it easy to assess
understand|map
understand|operationalize
understand|package
understand|provide
understand|publish
understand|reference
understand|save
understand|specify
understand|store
understand|translate
understand|understand
understand|use
understand|validate
