Ref Original USID|USID|User Story Text|Persona|Activity|Entity|Type
1|G-1|As a Developer, I want to get a Data Package into Node.|developer|get|datum package|Goal
1|B-1| so that I can start using the data for doing analysis and visualizations.|developer|do|analysis|Benefit
1|B-2| so that I can start using the data for doing analysis and visualizations.|developer|do|visualization|Benefit
1|B-3| so that I can start using the data for doing analysis and visualizations.|developer|start use|datum|Benefit
2|G-2|As a Researcher, I want to get a Data Package into Julia in seconds.|researcher|get|datum package|Goal
2|B-4| so that I can start using the data for doing analysis and visualizations.|researcher|start use|datum|Benefit
2|B-5| so that I can start using the data for doing analysis and visualizations.|researcher|do|analysis|Benefit
2|B-6| so that I can start using the data for doing analysis and visualizations.|researcher|do|visualization|Benefit
3|B-7| so that it is more useful to others and can be used better with tools like visualization programs.|publisher|use well|tool|Benefit
3|G-3|As a Publisher, I want to add type information to my data.|publisher|add|type information|Goal
4|G-4|As a Publisher, I want to be able to provide a visualization of data in the Data Package.|publisher|provide|visualization|Goal
4|B-8| so that I can provide my analysis and show my work to users of the data.|publisher|provide|analysis|Benefit
4|B-9| so that I can provide my analysis and show my work to users of the data.|publisher|show|work|Benefit
5|G-5|As a Researcher, I want to be able to save new visualizations.|researcher|save|new visualization|Goal
6|B-10| so that I can feel trust in the validity and usefulness of the data.|researcherpublisher|feel|usefulness|Benefit
6|G-6|As a ResearcherPublisher, I want to know that my data conforms to its Data Package profile.|researcherpublisher|know|datum|Goal
6|B-11| so that I can feel trust in the validity and usefulness of the data.|researcherpublisher|feel|trust|Benefit
7|G-7|As a ResearcherPublisher, I want to understand the ways in which my data is invalid.|researcherpublisher|understand|way|Goal
7|B-12| so that I can know how to fix it.|researcherpublisher|know|how|Benefit
7|B-13| so that I can know how to fix it.|researcherpublisher|fix|datum|Benefit
8|B-14| so that I can start using the data for doing analysis and visualizations.|researcher|start use|datum|Benefit
8|G-8|As a Researcher, I want to get a Data Package into R in seconds.|researcher|get|datum package|Goal
8|B-15| so that I can start using the data for doing analysis and visualizations.|researcher|do|analysis|Benefit
8|B-16| so that I can start using the data for doing analysis and visualizations.|researcher|do|visualization|Benefit
9|B-17| so that I can start using the data for doing analysis and visualizations.|researcher|do|analysis|Benefit
9|B-18| so that I can start using the data for doing analysis and visualizations.|researcher|do|visualization|Benefit
9|G-9|As a Researcher, I want to get a Data Package into Excel in seconds.|researcher|get|datum package|Goal
9|B-19| so that I can start using the data for doing analysis and visualizations.|researcher|start use|datum|Benefit
10|G-10|As a Researcher, I want to get a Data Package into SPSS in seconds.|researcher|get|datum package|Goal
10|B-20| so that I can start using the data for doing analysis and visualizations.|researcher|start use|datum|Benefit
10|B-21| so that I can start using the data for doing analysis and visualizations.|researcher|do|visualization|Benefit
10|B-22| so that I can start using the data for doing analysis and visualizations.|researcher|do|analysis|Benefit
11|B-23| so that I can start using the data for doing analysis and visualizations.|researcher|start use|datum|Benefit
11|B-24| so that I can start using the data for doing analysis and visualizations.|researcher|do|analysis|Benefit
11|B-25| so that I can start using the data for doing analysis and visualizations.|researcher|do|visualization|Benefit
11|G-11|As a Researcher, I want to get a Data Package into STATA in seconds.|researcher|get|datum package|Goal
12|B-26| so that I can benefit from the wide array of tools available for Data Packages.|researcher|benefit|wide array of tool available|Benefit
12|G-12|As a Researcher, I want to be able to translate my EML dataset to a Data Package.|researcher|translate|eml dataset|Goal
13|G-13|As a Researcher, I want to get a Data Package into LibreOffice/OpenOffice in seconds.|researcher|get|datum package|Goal
13|B-27| so that I can start using the data for doing analysis and visualizations.|researcher|start use|datum|Benefit
13|B-28| so that I can start using the data for doing analysis and visualizations.|researcher|do|analysis|Benefit
13|B-29| so that I can start using the data for doing analysis and visualizations.|researcher|do|visualization|Benefit
14|G-14|As a Developer, I want to get a Data Package into Python in seconds.|developer|get|datum package|Goal
14|B-30| so that I can start using the data for doing analysis and visualizations.|developer|do|analysis|Benefit
14|B-31| so that I can start using the data for doing analysis and visualizations.|developer|start use|datum|Benefit
14|B-32| so that I can start using the data for doing analysis and visualizations.|developer|do|visualization|Benefit
15|G-15|As a Developer, I want a jQuery plugin for Core Data Packages.|developer|want|jquery plugin|Goal
15|B-33| so that I can use it to apply to form control that uses a core dataset for autocompletion.|developer|form|control|Benefit
16|G-16|As a Researcher, I want to get my Excel spreadsheet into a Data Package.|researcher|get|excel spreadsheet|Goal
16|B-34| so that I can benefit from better tooling and standardization.|researcher|benefit from|well tooling|Benefit
16|B-35| so that I can benefit from better tooling and standardization.|researcher|benefit from|standardization|Benefit
17|B-36| so that I can use the best tool for the job.|developer|use|good tool|Benefit
17|G-17|As a Developer, I want to do exploratory data analysis in R and operationalize that analysis in Python.|developer|do|exploratory data analysis|Goal
17|G-18|As a Developer, I want to do exploratory data analysis in R and operationalize that analysis in Python.|developer|operationalize|analysis|Goal
18|G-19|As a Developer, I want to get a Data Package into Clojure in seconds.|developer|get|datum package|Goal
18|B-37| so that I can start using the data in doing analysis and visualizations.|developer|start use|datum|Benefit
18|B-38| so that I can start using the data in doing analysis and visualizations.|developer|do|visualization|Benefit
18|B-39| so that I can start using the data in doing analysis and visualizations.|developer|do|analysis|Benefit
19|G-20|As a Developer, I want to get a Data Package into Julia in seconds.|developer|get|datum package|Goal
19|B-40| so that I can start using the data in doing analysis and visualizations.|developer|start use|datum|Benefit
19|B-41| so that I can start using the data in doing analysis and visualizations.|developer|do|analysis|Benefit
19|B-42| so that I can start using the data in doing analysis and visualizations.|developer|do|visualization|Benefit
20|G-21|As a Developer, I want to get a Data Package into C++ in seconds.|developer|get|datum package|Goal
20|B-43| so that I can start using the data in doing analysis and visualizations.|developer|start use|datum|Benefit
20|B-44| so that I can start using the data in doing analysis and visualizations.|developer|do|visualization|Benefit
20|B-45| so that I can start using the data in doing analysis and visualizations.|developer|do|analysis|Benefit
21|G-22|As a Machine Learning expert, I would like to package ML datasets as data packages.|machine learning expert|package|ml dataset|Goal
21|B-46| so that I can easily import them into my ML platform, so that I can start using the data in doing analysis.|machine learning expert|start use|datum|Benefit
21|B-47| so that I can easily import them into my ML platform, so that I can start using the data in doing analysis.|machine learning expert|do|analysis|Benefit
22|B-48| so that I can integrate data-packaged data with pipelines that use Elasticsearch.|developer|integrate|data - package datum|Benefit
