0|1
add|add
add|create
add|reference
add|specify
add|translate
add|use
check|add
check|check
check|create
check|embed
check|get
check|import / export
check|make it easy to assess
check|operationalize
check|provide
check|publish
check|reference
check|save
check|specify
check|translate
check|use
check|validate
check|would like
create|create
create|use
customize|add
customize|check
customize|create
customize|customize
customize|do
customize|embed
customize|get
customize|import / export
customize|know
customize|make it easy to assess
customize|operationalize
customize|package
customize|provide
customize|publish
customize|reference
customize|save
customize|specify
customize|store
customize|translate
customize|understand
customize|use
customize|validate
customize|want
customize|would like
do|add
do|check
do|create
do|do
do|embed
do|get
do|import / export
do|make it easy to assess
do|operationalize
do|package
do|provide
do|publish
do|reference
do|save
do|specify
do|store
do|translate
do|use
do|validate
do|would like
embed|add
embed|create
embed|embed
embed|get
embed|import / export
embed|make it easy to assess
embed|operationalize
embed|provide
embed|publish
embed|reference
embed|save
embed|specify
embed|translate
embed|use
embed|validate
embed|would like
get|add
get|create
get|get
get|make it easy to assess
get|reference
get|specify
get|translate
get|use
import / export|add
import / export|create
import / export|get
import / export|import / export
import / export|make it easy to assess
import / export|operationalize
import / export|provide
import / export|publish
import / export|reference
import / export|save
import / export|specify
import / export|translate
import / export|use
import / export|validate
import / export|would like
know|add
know|check
know|create
know|do
know|embed
know|get
know|import / export
know|know
know|make it easy to assess
know|operationalize
know|package
know|provide
know|publish
know|reference
know|save
know|specify
know|store
know|translate
know|understand
know|use
know|validate
know|want
know|would like
make it easy to assess|add
make it easy to assess|create
make it easy to assess|make it easy to assess
make it easy to assess|reference
make it easy to assess|specify
make it easy to assess|translate
make it easy to assess|use
map|add
map|check
map|create
map|customize
map|do
map|embed
map|get
map|import / export
map|know
map|make it easy to assess
map|map
map|operationalize
map|package
map|provide
map|publish
map|reference
map|save
map|specify
map|store
map|translate
map|understand
map|use
map|validate
map|want
map|would like
operationalize|add
operationalize|create
operationalize|get
operationalize|make it easy to assess
operationalize|operationalize
operationalize|provide
operationalize|publish
operationalize|reference
operationalize|save
operationalize|specify
operationalize|translate
operationalize|use
operationalize|validate
operationalize|would like
package|add
package|check
package|create
package|embed
package|get
package|import / export
package|make it easy to assess
package|operationalize
package|package
package|provide
package|publish
package|reference
package|save
package|specify
package|translate
package|use
package|validate
package|would like
provide|add
provide|create
provide|get
provide|make it easy to assess
provide|provide
provide|reference
provide|save
provide|specify
provide|translate
provide|use
provide|validate
publish|add
publish|create
publish|get
publish|make it easy to assess
publish|provide
publish|publish
publish|reference
publish|save
publish|specify
publish|translate
publish|use
publish|validate
reference|create
reference|reference
reference|specify
reference|use
save|add
save|create
save|get
save|make it easy to assess
save|reference
save|save
save|specify
save|translate
save|use
specify|create
specify|specify
specify|use
store|add
store|check
store|create
store|embed
store|get
store|import / export
store|make it easy to assess
store|operationalize
store|package
store|provide
store|publish
store|reference
store|save
store|specify
store|store
store|translate
store|use
store|validate
store|would like
translate|create
translate|reference
translate|specify
translate|translate
translate|use
understand|add
understand|check
understand|create
understand|do
understand|embed
understand|get
understand|import / export
understand|make it easy to assess
understand|operationalize
understand|package
understand|provide
understand|publish
understand|reference
understand|save
understand|specify
understand|store
understand|translate
understand|understand
understand|use
understand|validate
understand|want
understand|would like
use|use
validate|add
validate|create
validate|get
validate|make it easy to assess
validate|reference
validate|save
validate|specify
validate|translate
validate|use
validate|validate
want|add
want|check
want|create
want|do
want|embed
want|get
want|import / export
want|make it easy to assess
want|operationalize
want|package
want|provide
want|publish
want|reference
want|save
want|specify
want|store
want|translate
want|use
want|validate
want|want
want|would like
would like|add
would like|create
would like|get
would like|make it easy to assess
would like|provide
would like|publish
would like|reference
would like|save
would like|specify
would like|translate
would like|use
would like|validate
would like|would like
