Entity 1|Entity 2|Majority Vote Result
analysis|analysis|0
analysis|app|0
analysis|command line tool|0
analysis|data integration|0
analysis|data|1
analysis|data package|1
analysis|doi|1
analysis|dspace integration|1
analysis|elasticsearch integration|0
analysis|eml dataset|1
analysis|eprint integration|0
analysis|excel spreadsheet|1
analysis|exist wizard|0
analysis|exploratory data analysis|1
analysis|feather integration|0
analysis|funding|0
analysis|general country name|0
analysis|general reference data|0
analysis|hdf5 integration|1
analysis|how many user|1
analysis|integration|0
analysis|interactive preview|0
analysis|jquery plugin|0
analysis|line|0
analysis|microsoft power bi integration|1
analysis|ml dataset|1
analysis|mongo integration|1
analysis|netcdf integration|1
analysis|new data column|1
analysis|new visualization|1
analysis|online service|1
analysis|preview button|1
analysis|quality of data|1
analysis|reference data on inflation|1
analysis|remote - control vocabulary|1
analysis|reproducible step|1
analysis|spss integration|1
analysis|tool|1
analysis|type information|1
analysis|useful metadata|1
analysis|visualization|1
analysis|way|1
analysis|web socket protocol|1
app|analysis|1
app|app|0
app|command line tool|1
app|data integration|1
app|data|1
app|data package|1
app|doi|1
app|dspace integration|1
app|elasticsearch integration|1
app|eml dataset|1
app|eprint integration|1
app|excel spreadsheet|1
app|exist wizard|1
app|exploratory data analysis|1
app|feather integration|1
app|funding|0
app|general country name|0
app|general reference data|1
app|hdf5 integration|1
app|how many user|1
app|integration|1
app|interactive preview|1
app|jquery plugin|1
app|line|1
app|microsoft power bi integration|1
app|ml dataset|1
app|mongo integration|1
app|netcdf integration|1
app|new data column|1
app|new visualization|1
app|online service|1
app|preview button|1
app|quality of data|1
app|reference data on inflation|1
app|remote - control vocabulary|1
app|reproducible step|1
app|spss integration|1
app|tool|1
app|type information|1
app|useful metadata|1
app|visualization|1
app|way|1
app|web socket protocol|1
command line tool|analysis|0
command line tool|app|0
command line tool|command line tool|0
command line tool|data integration|1
command line tool|data|1
command line tool|data package|1
command line tool|doi|1
command line tool|dspace integration|1
command line tool|elasticsearch integration|1
command line tool|eml dataset|1
command line tool|eprint integration|1
command line tool|excel spreadsheet|0
command line tool|exist wizard|1
command line tool|exploratory data analysis|1
command line tool|feather integration|1
command line tool|funding|0
command line tool|general country name|1
command line tool|general reference data|1
command line tool|hdf5 integration|1
command line tool|how many user|1
command line tool|integration|1
command line tool|interactive preview|1
command line tool|jquery plugin|1
command line tool|line|1
command line tool|microsoft power bi integration|1
command line tool|ml dataset|1
command line tool|mongo integration|1
command line tool|netcdf integration|1
command line tool|new data column|1
command line tool|new visualization|1
command line tool|online service|1
command line tool|preview button|0
command line tool|quality of data|1
command line tool|reference data on inflation|1
command line tool|remote - control vocabulary|1
command line tool|reproducible step|1
command line tool|spss integration|1
command line tool|tool|1
command line tool|type information|1
command line tool|useful metadata|1
command line tool|visualization|1
command line tool|way|0
command line tool|web socket protocol|1
data integration|analysis|1
data integration|app|0
data integration|command line tool|0
data integration|data integration|0
data integration|data|1
data integration|data package|1
data integration|doi|1
data integration|dspace integration|1
data integration|elasticsearch integration|1
data integration|eml dataset|1
data integration|eprint integration|1
data integration|excel spreadsheet|1
data integration|exist wizard|0
data integration|exploratory data analysis|0
data integration|feather integration|1
data integration|funding|0
data integration|general country name|0
data integration|general reference data|1
data integration|hdf5 integration|1
data integration|how many user|0
data integration|integration|0
data integration|interactive preview|1
data integration|jquery plugin|1
data integration|line|1
data integration|microsoft power bi integration|1
data integration|ml dataset|1
