Entity 1|Entity 2|Majority Vote Result
analysis|analysis|1
analysis|data integration|0
analysis|data|0
analysis|data package|0
analysis|doi|0
analysis|elasticsearch integration|0
analysis|eml dataset|0
analysis|eprint integration|0
analysis|excel spreadsheet|1
analysis|general reference data|0
analysis|hdf5 integration|1
analysis|integration|0
analysis|interactive preview|0
analysis|microsoft power bi integration|1
analysis|ml dataset|0
analysis|mongo integration|0
analysis|new visualization|1
analysis|online service|0
analysis|preview button|0
analysis|remote - control vocabulary|0
analysis|spss integration|1
analysis|tool|1
analysis|way|1
analysis|web socket protocol|0
app|analysis|1
app|app|1
app|command line tool|1
app|data integration|0
app|data|0
app|data package|0
app|doi|0
app|dspace integration|0
app|elasticsearch integration|1
app|eml dataset|0
app|eprint integration|0
app|excel spreadsheet|1
app|exploratory data analysis|1
app|funding|0
app|general reference data|0
app|hdf5 integration|1
app|integration|1
app|interactive preview|1
app|microsoft power bi integration|1
app|ml dataset|0
app|mongo integration|0
app|new data column|0
app|new visualization|1
app|online service|1
app|preview button|1
app|reference data on inflation|0
app|remote - control vocabulary|0
app|spss integration|1
app|tool|1
app|type information|0
app|useful metadata|0
app|visualization|1
app|way|1
app|web socket protocol|0
command line tool|analysis|1
command line tool|command line tool|1
command line tool|data integration|0
command line tool|data|0
command line tool|data package|0
command line tool|doi|0
command line tool|elasticsearch integration|1
command line tool|eml dataset|0
command line tool|eprint integration|1
command line tool|excel spreadsheet|0
command line tool|general reference data|0
command line tool|hdf5 integration|1
command line tool|integration|1
command line tool|interactive preview|1
command line tool|microsoft power bi integration|1
command line tool|ml dataset|0
command line tool|mongo integration|1
command line tool|new visualization|0
command line tool|online service|1
command line tool|preview button|0
command line tool|remote - control vocabulary|0
command line tool|spss integration|1
command line tool|tool|1
command line tool|useful metadata|0
command line tool|way|1
command line tool|web socket protocol|0
data integration|data integration|1
data integration|microsoft power bi integration|1
data|data integration|0
data|data|1
data|data package|0
data|elasticsearch integration|0
data|general reference data|1
data|microsoft power bi integration|0
data|new visualization|0
data package|data integration|0
data package|data package|1
data package|elasticsearch integration|0
data package|general reference data|0
data package|microsoft power bi integration|0
data package|new visualization|0
doi|data integration|0
doi|data|0
doi|data package|0
doi|doi|1
doi|elasticsearch integration|0
doi|excel spreadsheet|0
doi|general reference data|0
doi|hdf5 integration|0
doi|integration|0
doi|microsoft power bi integration|0
doi|ml dataset|0
doi|new visualization|0
doi|online service|0
doi|preview button|0
doi|remote - control vocabulary|0
doi|spss integration|0
doi|web socket protocol|0
dspace integration|analysis|0
dspace integration|command line tool|0
dspace integration|data integration|1
dspace integration|data|0
dspace integration|data package|0
dspace integration|doi|0
dspace integration|dspace integration|1
dspace integration|elasticsearch integration|1
dspace integration|eml dataset|0
dspace integration|eprint integration|1
dspace integration|excel spreadsheet|0
dspace integration|exploratory data analysis|0
dspace integration|funding|0
dspace integration|general reference data|0
dspace integration|hdf5 integration|1
dspace integration|integration|0
dspace integration|interactive preview|0
dspace integration|microsoft power bi integration|1
dspace integration|ml dataset|0
dspace integration|mongo integration|1
dspace integration|new data column|0
dspace integration|new visualization|0
dspace integration|online service|0
dspace integration|preview button|0
dspace integration|reference data on inflation|0
dspace integration|remote - control vocabulary|0
dspace integration|spss integration|1
dspace integration|tool|0
dspace integration|useful metadata|0
dspace integration|visualization|0
dspace integration|way|0
dspace integration|web socket protocol|0
elasticsearch integration|data integration|1
elasticsearch integration|elasticsearch integration|1
elasticsearch integration|general reference data|0
elasticsearch integration|microsoft power bi integration|0
elasticsearch integration|new visualization|0
eml dataset|data integration|0
eml dataset|data|0
eml dataset|data package|0
eml dataset|doi|0
eml dataset|elasticsearch integration|0
eml dataset|eml dataset|1
eml dataset|eprint integration|0
eml dataset|excel spreadsheet|0
eml dataset|general reference data|0
eml dataset|hdf5 integration|0
eml dataset|integration|0
eml dataset|interactive preview|0
eml dataset|microsoft power bi integration|0
eml dataset|ml dataset|0
