Entity 1 | Entity 2 | Result | Score 
how|dmp|False|0.8909648060798645
how long|repository mention|False|0.6422411799430847
all right|creation proces|False|0.745276927947998
agreement|how|True|0.9737328290939331
it resource requirement|anonymization of datum|False|0.7281931638717651
privacy|administrative information|False|0.4578770697116852
estimate|datum|False|0.7869626879692078
persistent identifier|how secure|False|0.3953104615211487
cost|content|False|0.7312213182449341
description|how long|False|0.7141433954238892
security requirement|plan provenance|False|0.8279176354408264
reference|persistent identifier|True|0.9643020629882812
intention|topic|True|0.9968371391296387
repository mention|all right|False|0.7148085236549377
all resource|detail|True|0.9304826855659485
technology|datum sensitivity|True|0.9015620946884155
all datum|technology|False|0.6089518666267395
creation proces|reference|True|0.9875129461288452
estimate|how secure|False|0.6235049962997437
creation proces|dmp|True|0.9567975997924805
my datum|estimate|False|0.8275402784347534
datum sensitivity|it resource requirement|False|0.6268020868301392
how many|time plan|False|0.46610596776008606
kind of datum I want to record|persistent identifier|True|0.9563353061676025
kind of datum I want to store|who be responsible|False|0.41565075516700745
research publication|report|False|0.6777063608169556
content|topic|True|0.9975075721740723
who|who|False|0.0
intention|short description|True|0.9704082012176514
technology|kind of datum I want to record|False|0.8174651861190796
cost|format|False|0.8520723581314087
short description|creation proces|True|0.9284178018569946
legal statu|who be responsible|False|0.14999255537986755
information|dmp|True|0.9806473851203918
all right|reference|True|0.9774371981620789
all right|dmp|False|0.6426665782928467
metadata|time plan|False|0.6813270449638367
how long|content|False|0.715553343296051
description|privacy|False|0.6708541512489319
cost|all resource|False|0.12958505749702454
datum set|time plan|False|0.7163039445877075
anonymization of datum|section|False|0.5024086833000183
creation proces|how many|False|0.6236016750335693
kind of datum type|compliance|False|0.8962118625640869
kind of datum I want to store|description|True|0.9108843803405762
creation proces|pointer|True|0.9687988758087158
kind of datum I want to store|technology|True|0.9216799139976501
description|my datum|True|0.9902851581573486
time plan|conservation period|False|0.7220793962478638
kind of datum|compliance|True|0.9818759560585022
who|security requirement|False|0.5061296224594116
legal statu|description|False|0.5876616835594177
my datum|agreement|True|0.9318965673446655
it resource requirement|all datum|False|0.30425769090652466
legal statu|technology|False|0.7699068784713745
kind of datum I want to record|all datum|False|0.48413658142089844
kind of datum I want to store|kind of datum type|True|0.9412679672241211
creation proces|necessary right|False|0.7186161279678345
agreement|topic|True|0.9859723448753357
datum|content|False|0.8814653158187866
detail|report|True|0.9832727909088135
datum set|who be responsible|False|0.3720702528953552
how many|technology|False|0.841298520565033
conservation period|kind of datum I want to store|False|0.5613631010055542
topic|security requirement|False|0.8793330788612366
who|anonymization of datum|False|0.4132246971130371
legal statu|kind of datum type|False|0.6448537707328796
all right|how many|False|0.5431235432624817
short description|reference|True|0.996269702911377
administrative information|research publication|False|0.6516944766044617
how long|format|False|0.684300422668457
all datum|cost|False|0.5017992258071899
all right|pointer|False|0.7836892008781433
software|datum sensitivity|True|0.9217685461044312
regular summary report|administrative information|False|0.1202978789806366
regular summary report|detail|False|0.14785662293434143
anonymization of datum|report|False|0.5838807821273804
technology|research publication|False|0.8608365654945374
necessary right|creation proces|False|0.7671263217926025
when|kind of datum|True|0.9556313157081604
it resource requirement|conservation period|False|0.6854760050773621
privacy|my datum|False|0.8705418705940247
format|plan provenance|True|0.9906575083732605
all metadata|research publication|False|0.5008953809738159
report|time plan|False|0.45512792468070984
pointer|metadata|False|0.8035169839859009
metadata|technology|True|0.9501186609268188
dmp|metadata|False|0.6657559871673584
all right|necessary right|False|0.4107200503349304
administrative information|datum set|False|0.7440931797027588
how long|all resource|False|0.13893356919288635
cost|kind of datum I want to record|False|0.6148782968521118
agreement|short description|True|0.9618144035339355
how secure|persistent identifier|False|0.5783783197402954
my datum|regular summary report|False|0.5928032398223877
section|security requirement|True|0.9401520490646362
time plan|kind of datum|False|0.7241566777229309
datum|format|False|0.8449981212615967
datum set|technology|False|0.8402570486068726
technology|datum set|False|0.7180635929107666
time plan|how|False|0.7306559085845947
topic|persistent identifier|True|0.9113370776176453
agreement|detail|True|0.9967580437660217
short description|how many|False|0.8028247952461243
kind of datum type|section|False|0.8921026587486267
short description|pointer|True|0.9662134647369385
detail|kind of datum I want to store|True|0.9426436424255371
datum sensitivity|who be responsible|False|0.3646637201309204
research publication|it resource requirement|False|0.48363378643989563
kind of datum|section|True|0.9797993898391724
necessary right|reference|True|0.971667468547821
description|repository mention|True|0.9825412034988403
necessary right|dmp|False|0.8056395053863525
it resource requirement|how|False|0.748810350894928
administrative information|report|False|0.7919029593467712
short description|necessary right|False|0.657442033290863
software|section|False|0.8918876647949219
anonymization of datum|kind of datum I want to store|False|0.6751402616500854
technology|estimate|False|0.8009615540504456
who|all datum|False|0.2003622055053711
how many|cost|False|0.7053477168083191
datum|datum sensitivity|True|0.959354043006897
report|technology|True|0.9229293465614319
how long|kind of datum I want to record|False|0.2824041545391083
all metadata|report|False|0.6005191802978516
cost|research publication|False|0.7653895616531372
topic|all datum|False|0.3751688003540039
datum sensitivity|description|False|0.8153265118598938
datum sensitivity|technology|False|0.7780324816703796
how|compliance|True|0.9469763040542603
privacy|repository mention|False|0.7122618556022644
metadata|cost|False|0.7918505668640137
plan provenance|datum sensitivity|True|0.9299652576446533
all resource|dmp|False|0.6655575633049011
who|conservation period|False|0.7645847201347351
datum sensitivity|kind of datum type|False|0.7889434695243835
datum|kind of datum I want to record|True|0.9319742918014526
pointer|how long|False|0.21201130747795105
dmp|how long|False|0.29916033148765564
cost|datum set|False|0.5115620493888855
detail|it resource requirement|True|0.978760302066803
necessary right|how many|False|0.5003132820129395
datum set|cost|False|0.7608489394187927
necessary right|pointer|False|0.8511387705802917
estimate|persistent identifier|False|0.8425085544586182
security requirement|kind of datum type|False|0.5702477693557739
