Entity 1 | Entity 2 | Result | Score 
analysis|analysis|False|0.0
analysis|app|False|0.4027029573917389
analysis|command line tool|False|0.24801823496818542
analysis|dat integration|False|0.6188052892684937
analysis|datum|False|0.6250463128089905
analysis|datum package|False|0.4541682004928589
analysis|doi|True|0.77412348985672
analysis|dspace integration|False|0.4363195598125458
analysis|elasticsearch integration|False|0.3691631555557251
analysis|eml dataset|False|0.4557284116744995
analysis|eprint integration|False|0.41803470253944397
analysis|excel spreadsheet|False|0.38532525300979614
analysis|exist wizard|False|0.6202374696731567
analysis|exploratory data analysis|False|0.3733530342578888
analysis|feather integration|False|0.42159003019332886
analysis|funding|False|0.2639915645122528
analysis|general country name|False|0.2018130123615265
analysis|general reference datum|True|0.9026821851730347
analysis|hdf5 integration|False|0.4004179835319519
analysis|how many user|False|0.6063176989555359
analysis|integration|False|0.6369572877883911
analysis|interactive preview|False|0.6541229486465454
analysis|jquery plugin|False|0.34055376052856445
analysis|line|True|0.7591167092323303
analysis|microsoft power bi integration|False|0.43192529678344727
analysis|ml dataset|False|0.6238709092140198
analysis|mongo integration|False|0.46588462591171265
analysis|netcdf integration|False|0.37277793884277344
analysis|new data column|False|0.3872751295566559
analysis|new visualization|False|0.5826617479324341
analysis|online service|False|0.489881694316864
analysis|preview button|False|0.45850101113319397
analysis|quality of data|False|0.6435333490371704
analysis|reference datum on inflation|False|0.29584816098213196
analysis|remote - control vocabulary|False|0.2985920011997223
analysis|reproducible step|True|0.8696174025535583
analysis|spss integration|False|0.5642592906951904
analysis|tool|True|0.8105728030204773
analysis|type information|True|0.8548625111579895
analysis|useful metadata|True|0.7264260053634644
analysis|visualization|False|0.6569671630859375
analysis|way|True|0.9446967244148254
analysis|web socket protocol|False|0.3903157413005829
app|analysis|False|0.3461497128009796
app|app|False|0.0
app|command line tool|False|0.21355390548706055
app|dat integration|False|0.2837141454219818
app|datum|False|0.3913940489292145
app|datum package|False|0.2576991617679596
app|doi|False|0.35409408807754517
app|dspace integration|False|0.28320375084877014
app|elasticsearch integration|False|0.3885515332221985
app|eml dataset|False|0.2193923443555832
app|eprint integration|False|0.3123096823692322
app|excel spreadsheet|False|0.33225017786026
app|exist wizard|False|0.3488481044769287
app|exploratory data analysis|False|0.26822566986083984
app|feather integration|False|0.22730115056037903
app|funding|False|0.13038884103298187
app|general country name|False|0.13423310220241547
app|general reference datum|False|0.36139819025993347
app|hdf5 integration|False|0.3461378514766693
app|how many user|False|0.4673478305339813
app|integration|False|0.4022561311721802
app|interactive preview|False|0.3816384971141815
app|jquery plugin|False|0.3733796775341034
app|line|False|0.4105337858200073
app|microsoft power bi integration|False|0.38147005438804626
app|ml dataset|False|0.35240381956100464
app|mongo integration|False|0.3754929304122925
app|netcdf integration|False|0.2621341049671173
app|new data column|False|0.27088233828544617
app|new visualization|False|0.3555552065372467
app|online service|False|0.36581698060035706
app|preview button|False|0.38499632477760315
app|quality of data|False|0.48725074529647827
app|reference datum on inflation|False|0.19751332700252533
app|remote - control vocabulary|False|0.3279607594013214
