Entity 1 | Entity 2 | Result | Score 
analysis|analysis|True|1.0
analysis|dat integration|False|0.8934712409973145
analysis|datum|False|0.8581780195236206
analysis|datum package|False|0.8400430679321289
analysis|doi|True|0.9037224650382996
analysis|elasticsearch integration|True|0.9344110488891602
analysis|eml dataset|False|0.8050719499588013
analysis|eprint integration|False|0.8162221908569336
analysis|excel spreadsheet|False|0.7332566380500793
analysis|general reference datum|False|0.8916024565696716
analysis|hdf5 integration|False|0.871442973613739
analysis|integration|False|0.8734543323516846
analysis|interactive preview|False|0.8683005571365356
analysis|microsoft power bi integration|False|0.8537308573722839
analysis|ml dataset|False|0.729945719242096
analysis|mongo integration|False|0.870914876461029
analysis|new visualization|False|0.8190302848815918
analysis|online service|False|0.8215380311012268
analysis|preview button|False|0.8322450518608093
analysis|remote - control vocabulary|False|0.8131617903709412
analysis|spss integration|False|0.8976430296897888
analysis|tool|False|0.7854228019714355
analysis|way|False|0.8331602811813354
analysis|web socket protocol|False|0.7901914119720459
app|analysis|False|0.6330600380897522
app|app|True|1.0
app|command line tool|False|0.7099097967147827
app|dat integration|False|0.7698533535003662
app|datum|False|0.6425942182540894
app|datum package|False|0.6902217864990234
app|doi|False|0.7475882172584534
app|dspace integration|False|0.6307845115661621
app|elasticsearch integration|False|0.7860045433044434
app|eml dataset|False|0.562075138092041
app|eprint integration|False|0.6134576201438904
app|excel spreadsheet|False|0.629758894443512
app|exploratory data analysis|False|0.7385228276252747
app|funding|False|0.3594970703125
app|general reference datum|False|0.7215918302536011
app|hdf5 integration|False|0.6619715690612793
app|integration|False|0.7660133838653564
app|interactive preview|False|0.8006153702735901
app|microsoft power bi integration|False|0.7784604430198669
app|ml dataset|False|0.49341848492622375
app|mongo integration|False|0.6970764994621277
app|new data column|False|0.5861073136329651
app|new visualization|False|0.6646441221237183
app|online service|False|0.8420442938804626
app|preview button|False|0.7327960133552551
app|reference datum on inflation|False|0.33288124203681946
app|remote - control vocabulary|False|0.7899979948997498
app|spss integration|False|0.7431600689888
app|tool|False|0.6187856197357178
app|type information|False|0.737270176410675
app|useful metadata|False|0.6333504319190979
app|visualization|False|0.700360894203186
app|way|False|0.643435001373291
app|web socket protocol|False|0.7643218040466309
command line tool|analysis|False|0.6547284722328186
command line tool|command line tool|True|1.0
command line tool|dat integration|False|0.7477642893791199
command line tool|datum|False|0.5902658104896545
command line tool|datum package|False|0.7249653339385986
command line tool|doi|False|0.7344440221786499
command line tool|elasticsearch integration|False|0.7897518873214722
command line tool|eml dataset|False|0.5945683717727661
command line tool|eprint integration|False|0.6425226926803589
command line tool|excel spreadsheet|False|0.6716883182525635
command line tool|general reference datum|False|0.7715571522712708
command line tool|hdf5 integration|False|0.7124260663986206
command line tool|integration|False|0.706658661365509
command line tool|interactive preview|False|0.761002779006958
command line tool|microsoft power bi integration|False|0.8517670631408691
command line tool|ml dataset|False|0.5521150231361389
command line tool|mongo integration|False|0.6668424606323242
command line tool|new visualization|False|0.6735190749168396
command line tool|online service|False|0.7592841982841492
command line tool|preview button|False|0.7510586380958557
command line tool|remote - control vocabulary|False|0.8289691805839539
command line tool|spss integration|False|0.7441478371620178
command line tool|tool|True|0.9212750792503357
command line tool|useful metadata|False|0.6753992438316345
command line tool|way|False|0.5227854251861572
command line tool|web socket protocol|False|0.7493888139724731
dat integration|dat integration|True|1.0
dat integration|microsoft power bi integration|False|0.8940467238426208
datum|dat integration|False|0.8806787729263306
datum|datum|True|1.0
datum|datum package|False|0.8982933163642883
datum|elasticsearch integration|False|0.786713719367981
datum|general reference datum|True|0.9502887725830078
datum|microsoft power bi integration|False|0.7244883179664612
datum|new visualization|False|0.6666976809501648
datum package|dat integration|False|0.8624451160430908
datum package|datum package|True|1.0
datum package|elasticsearch integration|False|0.7569980025291443
datum package|general reference datum|True|0.9154934287071228
datum package|microsoft power bi integration|False|0.7739019989967346
datum package|new visualization|False|0.6147719621658325
doi|dat integration|False|0.7730427384376526
doi|datum|False|0.7949835658073425
doi|datum package|False|0.711615264415741
doi|doi|True|1.0
doi|elasticsearch integration|False|0.8268608450889587
doi|excel spreadsheet|False|0.40852534770965576
doi|general reference datum|False|0.8659122586250305
doi|hdf5 integration|False|0.7723926901817322
doi|integration|False|0.8196537494659424
doi|microsoft power bi integration|False|0.7495419383049011
doi|ml dataset|False|0.5663144588470459
doi|new visualization|False|0.690315842628479
doi|online service|False|0.6345803141593933
doi|preview button|False|0.6914350390434265
doi|remote - control vocabulary|False|0.6838676929473877
doi|spss integration|False|0.83584064245224
doi|web socket protocol|False|0.6983755826950073
dspace integration|analysis|False|0.7735140919685364
dspace integration|command line tool|False|0.6475286483764648
dspace integration|dat integration|False|0.8822163939476013
dspace integration|datum|False|0.7849254608154297
dspace integration|datum package|False|0.7887139916419983
dspace integration|doi|False|0.8525053262710571
