Action 1 | Action 2 | Result | Score 
change|change|False|0.0
change|delete|False|0.20802800357341766
delete|change|False|0.24836419522762299
change|create|False|0.4320286810398102
create|change|False|0.5702702403068542
change|insert|False|0.5398848056793213
insert|change|False|0.4100014269351959
change|modify|False|0.6221792101860046
modify|change|False|0.5768018364906311
change|edit|False|0.4992947578430176
edit|change|False|0.5073335766792297
change|add|False|0.4199328124523163
add|change|False|0.4332367479801178
change|remove|False|0.2364501655101776
remove|change|False|0.23507080972194672
change|drop|False|0.3112245500087738
drop|change|False|0.39917507767677307
change|set|False|0.611888587474823
set|change|False|0.7048805952072144
change|upload|False|0.38251742720603943
upload|change|False|0.3538914918899536
change|delete|False|0.20802800357341766
delete|change|False|0.24836419522762299
change|see|False|0.6528765559196472
see|change|False|0.6787596344947815
change|inspect|False|0.520296037197113
inspect|change|False|0.5543445348739624
delete|create|False|0.103305384516716
create|delete|False|0.12021281570196152
delete|insert|False|0.1050480455160141
insert|delete|False|0.10616925358772278
delete|modify|False|0.2791789174079895
modify|delete|False|0.2482139766216278
delete|edit|False|0.16988037526607513
edit|delete|False|0.1702185720205307
delete|add|False|0.1212431788444519
add|delete|False|0.10280492156744003
delete|remove|False|0.4351215958595276
remove|delete|False|0.42063140869140625
delete|drop|False|0.2458164393901825
drop|delete|False|0.21040983498096466
delete|set|False|0.11435975134372711
set|delete|False|0.08053924143314362
delete|upload|False|0.15883153676986694
upload|delete|False|0.12604989111423492
delete|delete|False|0.0
delete|delete|False|0.0
delete|see|False|0.1585378795862198
see|delete|False|0.09891796112060547
delete|inspect|False|0.23392023146152496
inspect|delete|False|0.15652696788311005
create|insert|False|0.21591152250766754
insert|create|False|0.2390720248222351
create|modify|False|0.3717329800128937
modify|create|False|0.34784823656082153
create|edit|False|0.2088950276374817
edit|create|False|0.3796778619289398
create|add|False|0.30240240693092346
add|create|False|0.3062823712825775
create|remove|False|0.16825121641159058
remove|create|False|0.10306121408939362
create|drop|False|0.17727221548557281
drop|create|False|0.2021591067314148
create|set|False|0.5608627796173096
set|create|False|0.533603847026825
create|upload|False|0.20623040199279785
upload|create|False|0.2686578631401062
create|delete|False|0.12021281570196152
delete|create|False|0.103305384516716
create|see|False|0.4720073640346527
see|create|False|0.613916277885437
create|inspect|False|0.36403796076774597
