Generalisation Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Persona pairs | Threshold 0.5 | 23.54742431640625 seconds
Generalisation Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Persona pairs | Threshold 0.7 | 22.512743711471558 seconds
Generalisation Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Persona pairs | Threshold 0.9 | 22.49753499031067 seconds
Generalisation Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Action pairs | Threshold 0.5 | 156.31466674804688 seconds
Generalisation Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Action pairs | Threshold 0.7 | 156.6511857509613 seconds
Generalisation Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Action pairs | Threshold 0.9 | 156.61395359039307 seconds
Generalisation Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Entity pairs | Threshold 0.5 | 81.07691359519958 seconds
Generalisation Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Entity pairs | Threshold 0.7 | 81.05983829498291 seconds
Generalisation Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Entity pairs | Threshold 0.9 | 81.21210551261902 seconds
Containment Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Entity pairs | Threshold 0.5 | 80.95831394195557 seconds
Containment Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Entity pairs | Threshold 0.7 | 80.79146337509155 seconds
